age,income,employment_length,debt_to_income,credit_history_length,num_credit_accounts,num_delinquencies,credit_utilization,loan_amount,credit_score,default_risk,loan_purpose,employment_type,home_ownership
45,21103,0.2863788890688309,0.606255276056334,3.3220349925486623,1,0,0.8036523328553216,8659,384,1,education,unemployed,own
38,28441,21.26117316300304,0.23504294580269255,4.646915647068208,4,0,0.4552556418936551,8881,586,1,home,part_time,own
47,22518,8.047651619729994,0.34198747348686886,5.1809438171018884,4,0,0.33459008422034325,2074,511,1,home,unemployed,own
58,39669,10.15550774197531,0.2993102823644586,10.2497771111813,5,2,0.29579973531870457,2970,541,1,home,full_time,mortgage
37,94631,5.925661665155136,0.25926041827854845,3.3330049754204256,5,2,0.3270340683465389,6495,527,1,auto,self_employed,own
37,20000,1.0292819011781125,0.17622974827612323,10.771063082121293,1,1,0.2574332428478865,12890,519,1,auto,unemployed,rent
58,80874,0.15760009931374885,0.287917700682884,8.992967200142434,4,1,0.42729360959861046,11392,528,1,business,self_employed,rent
49,20000,9.999700418684215,0.07254801251809484,2.778380342138018,5,1,0.13340881826407755,9365,585,0,auto,part_time,mortgage
34,20000,2.52364335453878,0.25784069385447267,3.570155559912125,2,0,0.4708362344962371,21987,508,1,education,part_time,mortgage
46,69903,1.531707923836031,0.3465571967141301,4.699565472889465,4,1,0.13768719048948394,39042,530,0,home,part_time,own
34,75928,4.123949889535325,0.7379960808076677,5.894747137024505,4,0,0.2596306643576821,6669,542,1,auto,unemployed,mortgage
34,71763,2.731387766694498,0.14443498014777745,2.0957083178284437,4,0,0.3013871492411214,42413,501,1,education,part_time,mortgage
42,20000,5.272967384986868,0.24021378694046017,4.987613381220088,3,0,0.40851846585006363,8084,476,1,business,part_time,own
18,25015,3.3062394131458834,0.49339719948618255,6.307910182729943,6,0,0.12720443656808017,37009,480,1,personal,part_time,own
19,70149,5.973961050204483,0.23376972527013942,0.12155419369346532,0,2,0.6315861994242737,5115,465,1,home,unemployed,mortgage
33,37542,9.601031150106948,0.19749368845439602,10.722223120519459,0,0,0.20395210342497286,3884,659,0,home,unemployed,rent
27,20000,1.0880259006970814,0.31633660806693575,1.1849741607350786,2,0,0.3293625310622903,3424,417,1,personal,unemployed,mortgage
43,52399,1.9981573885705477,0.12583227794903257,8.025884589117572,4,0,0.5074558932073581,9793,568,0,education,full_time,own
29,20499,2.8707407477007747,0.5134519936409224,1.9069915098710202,2,0,0.42155225776478283,6652,439,1,education,part_time,rent
23,152606,16.358542046727923,0.5792637855183909,4.474017246806582,3,0,0.29400287738243025,8999,612,1,home,part_time,rent
57,124975,2.273278969064642,0.47636715353972037,5.3042106231257735,5,0,0.2788309967509355,6466,529,1,personal,unemployed,mortgage
37,58881,2.3990566360657333,0.1972515848954402,10.243688393303081,3,0,0.2920895822844583,4289,607,0,auto,unemployed,mortgage
40,107883,5.298965823390795,0.3668913283566879,12.719155927508783,3,0,0.28541508601964904,7667,584,0,personal,unemployed,rent
22,38247,2.7167415798544967,0.20087925621536554,2.172795265105883,5,1,0.2584563649229333,4781,500,1,auto,part_time,own
33,66993,15.102558377611793,0.28853224217983836,4.774169003403841,2,0,0.532419315326096,39207,546,1,auto,unemployed,rent
41,118441,11.243741303301025,0.24256280735353142,3.0089349035528707,4,2,0.38631503575483056,14245,552,0,business,part_time,rent
26,44196,3.6016544389593514,0.12500680987755733,4.5038289403466365,3,0,0.6844096795301945,15812,483,0,personal,self_employed,mortgage
44,29609,5.175022730244131,0.14665669374028842,4.826806542886086,4,1,0.3228007945609199,7337,512,1,auto,full_time,rent
32,20000,0.29891224272632344,0.129579177182955,8.079688423699972,2,0,0.6439792077544934,4006,485,1,business,full_time,rent
36,33978,5.949207746344457,0.16462833021323833,4.588287518771094,4,0,0.848126555230649,20527,497,1,business,self_employed,rent
32,70174,6.141342391413658,0.145100258800445,7.421354705371471,3,1,0.2795280109329283,5222,556,1,education,part_time,rent
62,77381,2.2251839202254184,0.5504381995029262,1.5083287579860074,5,1,0.4160710817922861,8666,443,1,auto,self_employed,own
39,54365,1.240274412333114,0.27249281935946124,10.031943270369695,5,2,0.39039545852567525,15654,510,1,business,part_time,rent
27,23551,12.33013411229307,0.1444775636652964,5.1652238465840625,1,2,0.40969609273970353,9006,465,1,home,self_employed,own
49,20000,2.781773437586295,0.36006018194286676,3.2366696544941496,3,1,0.22643767255744665,3269,486,1,education,full_time,mortgage
25,24436,5.302337281898851,0.07521248682523596,4.427982179393691,5,0,0.2276749624628838,2498,556,1,business,part_time,rent
42,28467,0.16948428417276562,0.1667471324101275,1.5818577422626188,4,2,0.4600482102325415,7340,514,1,education,self_employed,own
18,28272,2.672750573530779,0.4779311481118566,4.975400429097448,5,1,0.2546149569950464,8213,512,1,personal,self_employed,own
24,59566,8.498421974984,0.2201151372527963,9.52455750527976,3,0,0.18304686344228446,10749,602,0,personal,part_time,own
42,177822,2.4516521327449023,0.23456910571443967,17.239247025765735,4,1,0.4375036934418813,17597,603,0,home,part_time,own
48,40087,4.621125128210278,0.16110167627120342,4.583841681963904,3,0,0.7581500207261185,2235,580,0,business,unemployed,mortgage
42,30534,1.1776990957280165,0.41074326762198266,5.301260913075482,4,0,0.20007966537023295,13027,480,1,home,self_employed,mortgage
38,29514,2.693773925508973,0.28694941989091005,5.5425223515694,0,1,0.6132317893974135,6368,442,1,personal,full_time,mortgage
36,40115,13.130350414633396,0.438420468223475,8.134945211402336,4,3,0.15980265339575178,12476,479,1,personal,part_time,own
22,20000,4.178760924604293,0.5259117803399209,2.109638883662013,6,0,0.557730550988828,6913,518,0,business,part_time,own
31,39980,11.610443238823864,0.06823864845000858,1.5282378460117219,5,1,0.47405624854162914,5110,503,1,auto,self_employed,rent
34,52085,11.614923766361473,0.12108188505652936,10.95866468656286,7,0,0.3629471589080268,9177,682,0,business,unemployed,rent
52,42948,14.425231853081462,0.3184394895696895,8.537138771776453,2,1,0.4496783255569017,3545,499,0,education,unemployed,own
44,52367,11.287659994909774,0.08189021581202875,3.672825793256506,1,0,0.31088400417981926,26625,591,0,business,part_time,mortgage
18,51379,0.0164326185890577,0.31408707207000824,8.97309525279957,1,0,0.21457246014735748,6534,534,1,auto,unemployed,own
43,20000,13.591630962190953,0.3280160679265259,4.067874503820609,6,0,0.11369032671921214,5797,583,0,auto,self_employed,own
35,60445,0.7393655201748708,0.11177059536157868,4.108436164443716,9,0,0.2964771087041081,24893,579,0,education,part_time,rent
31,21230,0.20372587855838595,0.2956253072421876,4.25858952344247,0,1,0.23443220929664207,8805,444,1,education,unemployed,mortgage
47,20000,0.28490791867214027,0.4102717512733008,2.445906567363286,6,2,0.2735307045519944,4118,418,1,business,full_time,own
52,20000,2.145584563055018,0.1870735211209179,8.075470453647313,8,1,0.3050123134518568,18086,582,0,home,part_time,mortgage
51,51371,4.8485114102373625,0.18393021057192374,4.194844993140062,7,0,0.5011972449514103,7976,608,0,education,part_time,own
29,30392,2.573425280004826,0.02016949886558381,3.1794553099346285,3,1,0.11817443187359865,7141,585,0,home,full_time,rent
36,20000,0.12943233358154752,0.3380789462993547,8.179001783977816,5,0,0.08216413171050407,4145,558,0,auto,unemployed,rent
43,53232,3.235925383403025,0.05394358382837957,8.020086464064233,5,0,0.30791549319978845,9700,639,0,home,unemployed,own
51,20000,2.918153245993076,0.4098304503741407,8.922560039799318,6,2,0.4613075133023836,8041,520,0,personal,full_time,rent
34,40613,7.070368606873027,0.15284863351724634,12.023337767316427,3,0,0.3083235924342802,12563,592,0,personal,self_employed,own
37,43949,1.6398328518671845,0.3595680251311642,6.714342187152119,6,1,0.13373522347980632,5202,491,1,personal,full_time,mortgage
26,73751,1.226505980381288,0.2572168638766256,2.421194220295082,4,0,0.4511820178093352,17589,596,1,auto,part_time,rent
25,151047,1.478161006905391,0.299400922772441,8.698043706761782,7,0,0.20835242000027077,6488,637,0,auto,unemployed,mortgage
49,20000,1.8101593521985893,0.14655069374156307,5.514665906706433,2,1,0.4825912731073009,30018,536,0,business,part_time,own
56,34822,4.571025458761358,0.19028251634833795,0.43798601690432193,5,0,0.6012650543733895,6075,524,1,auto,unemployed,mortgage
39,29112,3.1888034853562184,0.09438880452669526,26.138175962212728,5,1,0.6427948699452111,6580,639,1,business,full_time,own
52,51379,2.0541063728022966,0.03690002386871809,5.618710992719434,2,0,0.4491875020376778,8467,571,1,education,self_employed,mortgage
44,43154,2.344534420722299,0.2520082844846634,2.141526332245998,5,0,0.29298485721364637,34829,568,1,education,full_time,mortgage
32,27390,2.317513313246082,0.3708287915272315,8.793416039103679,5,1,0.911617727598957,43676,473,1,auto,full_time,rent
44,25521,17.95091048824983,0.2497354540507911,3.6466341659663604,3,1,0.20686412411119376,11133,591,1,home,part_time,rent
58,20000,1.3263227535168187,0.2907341179297465,5.256561997874491,4,1,0.7798052383652739,6631,482,1,education,part_time,rent
39,80040,8.52043446188331,0.2753026402221713,7.478197497537046,5,0,0.21128001653433912,2975,546,1,auto,unemployed,own
58,52436,6.158618920249448,0.10141220597311594,5.428354044965074,6,0,0.32550243350017927,8963,549,1,home,full_time,rent
18,75675,0.027927879647741252,0.35020744734889514,0.43679292065934916,5,2,0.3207890402322598,16821,430,1,home,self_employed,own
49,28330,24.936707168827628,0.523335088127684,6.6560724672157345,2,0,0.48375111588558384,10761,585,0,personal,full_time,own
41,21472,7.061946881073878,0.1441579797881505,8.974813803649404,4,0,0.6287305766376581,3222,549,1,business,full_time,own
36,20000,5.735593450534933,0.12655503336576143,2.0009981700450767,4,1,0.6488602423421004,6035,493,1,auto,unemployed,mortgage
41,48394,2.598698747937063,0.41817818198069345,5.189866362605129,5,0,0.3564263038123808,23155,491,1,education,full_time,rent
18,20000,4.05068740285714,0.06745894539707001,7.829983979504098,3,0,0.42802923955796973,9109,502,1,business,part_time,mortgage
37,159361,1.4602640221167569,0.4397509729674369,12.524399919022619,4,0,0.621424766886981,19201,560,1,personal,self_employed,own
44,20000,0.1806412056465591,0.14566987416908989,6.672204142075774,2,0,0.495011074769448,8466,544,0,education,full_time,own
57,45203,9.040104617870364,0.2597471514552255,7.00439996623047,4,0,0.5854902699171798,5893,560,1,home,self_employed,rent
33,127195,11.340169289964734,0.1705385425493433,5.863905237800918,4,1,0.23504207133488983,3577,587,1,business,part_time,own
30,58645,0.8864947756920651,0.44960948174814636,4.8433397184890925,3,0,0.4237057783408941,9999,506,1,education,part_time,rent
33,41795,7.733632543681704,0.2561874943185386,3.404541489965184,7,2,0.07690474709102835,18062,530,1,auto,self_employed,own
50,20000,6.7575843161750555,0.2526802831688118,2.212287069591843,5,0,0.3888716256199834,12252,512,1,education,unemployed,own
43,20000,0.9823559737740649,0.586293194253188,3.05685641154877,4,1,0.17153390820792658,14851,418,1,auto,unemployed,rent
33,67241,2.7394263242409513,0.34922710321324696,5.993034405638437,4,1,0.3020168704086416,3753,462,1,education,self_employed,mortgage
46,121166,2.7474677625592063,0.196240476223028,6.603739162216797,8,1,0.22052579586449153,7289,630,1,auto,part_time,rent
41,25563,7.13483721500026,0.22693447220625368,10.728590924640294,3,1,0.12074313628195922,29415,588,1,business,unemployed,rent
51,20000,9.090339785824149,0.37809804453775425,12.826627543334467,4,0,0.4824269526577082,7353,558,1,personal,part_time,own
31,20000,0.4978594074949483,0.13634738223236045,3.833129063403467,11,0,0.6000880662191919,5196,478,1,auto,part_time,rent
36,20000,4.138758428438385,0.15485806039170677,5.209698662223405,2,0,0.4026689200157675,2587,563,1,business,unemployed,mortgage
35,33159,7.172142138348814,0.16185464980895758,6.511183012947323,7,1,0.28830066987812075,13376,547,0,home,full_time,own
22,130522,7.713351436381947,0.2559864989000729,2.6133977404174917,5,0,0.3835601400839426,18088,542,1,home,full_time,own
43,62224,0.8008057587395606,0.17917760025206608,10.80660274793592,1,1,0.7160535102333003,5055,461,1,personal,self_employed,mortgage
43,46354,3.727522500431772,0.10005346613856192,5.926633177493502,6,0,0.716568786017285,39193,504,1,business,self_employed,own
40,26367,9.744126693166692,0.07444362393949999,5.497275229075944,3,0,0.10748343325548249,18936,597,1,home,self_employed,own
37,22776,1.9174314329802986,0.5364675960854522,6.493588554163448,3,0,0.22863937740224563,17566,519,1,home,self_employed,mortgage
23,111805,2.7679428065441583,0.2954339407107813,6.926619584001287,4,0,0.5250234225086717,16553,573,1,auto,self_employed,rent
34,42641,8.157357170705286,0.5360342116908208,1.9557134234137623,2,1,0.16630840839344918,1506,497,0,personal,part_time,own
35,20000,0.4678158999982669,0.36644260548728996,2.589217946163657,0,1,0.4260225388778342,17421,458,1,personal,self_employed,own
30,21187,9.812500162757217,0.0844070500656343,2.55710200574987,8,0,0.49894805713335677,3142,591,1,home,full_time,mortgage
38,20000,1.8637074459130814,0.21393688563379878,4.255749946403136,1,0,0.3399564212685996,11980,512,1,personal,self_employed,mortgage
44,23458,0.0072568465910794605,0.3565912500356996,7.950088704239386,6,0,0.4051930269688507,5805,562,1,personal,part_time,mortgage
62,56972,1.3339044599853398,0.29925327281115965,7.646994292393561,4,0,0.24095869444084322,1792,554,1,auto,self_employed,own
42,33324,0.4688104185437176,0.2833555722860295,5.0159421005502525,6,0,0.679972610974284,23675,585,1,personal,unemployed,own
43,34149,0.4846744831904156,0.5247885338010452,6.161203440817479,4,0,0.26486785976377947,9763,536,0,education,self_employed,own
39,103857,5.90186303276653,0.49232677596283847,6.017409692760802,6,0,0.3887551550926599,3289,523,1,business,unemployed,rent
